t [ns],ne [m-3],ne_err [m-3],Te [eV],Te_err [eV],Tg [K],Tg_err [K]
-6,2.91E+19,2.05E+19,1.7525,2.0316,332.7358,2.9339
-4,6.47E+18,2.19E+19,1.4675,8.4441,330.5512,3.1978
-2,7.80E+19,2.19E+19,2.4832,1.1155,334.4633,3.0199
-1,2.09E+20,2.13E+19,2.9287,0.48604,339.9098,3.0145
0,4.03E+20,2.21E+19,2.9565,0.26242,348.1676,3.2811
1,5.14E+20,2.35E+19,2.707,0.19746,359.0806,3.746
2,4.98E+20,2.74E+19,2.6937,0.23677,370.5546,4.6914
3,4.46E+20,2.56E+19,2.6747,0.24474,367.6413,4.3031
4,3.92E+20,2.81E+19,2.687,0.30724,370.5087,4.8081
5,3.34E+20,3.21E+19,2.5099,0.38424,376.113,5.708
6,3.01E+20,3.30E+19,2.2489,0.3966,375.7811,5.9451
7,2.55E+20,3.12E+19,2.5015,0.48902,368.6678,5.324
8,2.55E+20,2.41E+19,2.7187,0.41182,357.2647,3.8085
9,2.48E+20,3.23E+19,2.8195,0.58962,366.7811,5.3876
10,2.24E+20,3.23E+19,2.4498,0.56393,372.3285,5.6401
12,2.18E+20,3.95E+19,2.3656,0.68444,383.4306,7.3852
14,1.84E+20,3.54E+19,2.3831,0.73262,372.6531,6.2061
16,1.53E+20,3.46E+19,2.3956,0.86549,368.1059,5.9141
18,1.54E+20,3.73E+19,2.2243,0.86828,371.2257,6.555
20,1.63E+20,3.72E+19,2.3428,0.85414,381.7385,6.8961